id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
layerzero,2.52,280358556,2.40988,7.47,1.51,05-05-2025
quorium,3336.09,280231332,2.92324,14721.58,1170.65,05-05-2025
mina-protocol,0.227798,280037278,1.41086,9.09,0.18424,05-05-2025
wrapped-avax,19.99,277984127,-0.85293,2000.68,7.91,05-05-2025
ether-fi-staked-btc,94605.0,275255044,-0.93134,109069.0,58795.0,05-05-2025
venom,0.132581,274623706,-2.65316,0.782403,0.03459851,05-05-2025
resolv-usr,0.99921,272508961,-0.07823,1.022,0.959194,05-05-2025
1inch,0.194643,269774243,-1.12957,8.65,0.149574,05-05-2025
dash,22.01,269555051,0.32336,1493.59,0.213899,05-05-2025
mx-token,2.82,265842725,-0.12073,5.85,0.04218457,05-05-2025
stader-ethx,1933.54,265569915,-0.76283,4275.3,1474.49,05-05-2025
golem,0.264734,264746056,1.03749,1.32,0.00913753,05-05-2025
safepal,0.524206,262111356,1.19934,4.19,0.269235,05-05-2025
safe,0.44751,259445629,0.30547,3.56,0.356678,05-05-2025
syrupusdc,1.098,257662664,0.13698,1.099,1.07,05-05-2025
aethir,0.02963744,251315123,-0.23634,0.118536,0.02439678,05-05-2025
honey-3,0.999568,249573463,0.09182,1.11,0.916153,05-05-2025
theta-fuel,0.03592581,248858344,-2.4652,0.68159,0.00090804,05-05-2025
coinbase-wrapped-staked-eth,2002.64,247653815,-0.7146,4434.57,1036.96,05-05-2025
compound-wrapped-btc,1900.84,245448615,-1.22715,2187.46,91.15,05-05-2025
convex-finance,2.99,245010110,-2.1524,60.09,1.44,05-05-2025
cat-in-a-dogs-world,0.00274873,244357932,0.02514,0.01288153,0.00091206,05-05-2025
global-dollar,0.999713,242459962,-0.05997,1.65,0.907561,05-05-2025
gho,0.999366,242359515,-0.00942,1.03,0.917065,05-05-2025
kusama,14.71,241871202,0.0017,621.71,0.876572,05-05-2025
btse-token,1.49,241708374,1.82883,9.21,0.369569,05-05-2025
sweth,1986.14,241075358,-0.74652,4395.57,1516.13,05-05-2025
snek,0.00320106,238630945,-6.32873,0.00895508,0.00013847,05-05-2025
abtc,94510.0,238033993,-1.0616,108378.0,60786.0,05-05-2025
polygon-pos-bridged-weth-polygon-pos,1825.37,237493630,-0.65794,4090.99,1390.73,05-05-2025
zilliqa,0.0120069,234067984,-1.3589,0.255376,0.00239616,05-05-2025
euro-coin,1.13,233682491,0.23346,1.35,0.052848,05-05-2025
